scenario,dest,year,sex,edu,pop
benchmark,DNK,2035,m,2,22351
benchmark,DNK,2035,m,3,42892
benchmark,DNK,2035,m,4,628204
benchmark,DNK,2035,m,5,1260118
benchmark,DNK,2035,m,6,967182
benchmark,DNK,2040,f,1,46684
benchmark,DNK,2040,f,2,29186
benchmark,DNK,2040,f,3,53619
benchmark,DNK,2040,f,4,542436
benchmark,DNK,2040,f,5,1138176
benchmark,DNK,2040,f,6,1270214
benchmark,DNK,2040,m,1,32158
benchmark,DNK,2040,m,2,27021
benchmark,DNK,2040,m,3,46944
benchmark,DNK,2040,m,4,603020
benchmark,DNK,2040,m,5,1276083
benchmark,DNK,2040,m,6,1040508
benchmark,DNK,2045,f,1,53972
benchmark,DNK,2045,f,2,34560
benchmark,DNK,2045,f,3,58237
benchmark,DNK,2045,f,4,509560
benchmark,DNK,2045,f,5,1144362
benchmark,DNK,2045,f,6,1372037
benchmark,DNK,2045,m,1,36429
benchmark,DNK,2045,m,2,32333
benchmark,DNK,2045,m,3,51930
benchmark,DNK,2045,m,4,586818
benchmark,DNK,2045,m,5,1293796
benchmark,DNK,2045,m,6,1114392
benchmark,DNK,2050,f,1,60887
benchmark,DNK,2050,f,2,40587
benchmark,DNK,2050,f,3,63425
benchmark,DNK,2050,f,4,483739
benchmark,DNK,2050,f,5,1154655
benchmark,DNK,2050,f,6,1479232
benchmark,DNK,2050,m,1,40486
benchmark,DNK,2050,m,2,38231
benchmark,DNK,2050,m,3,57680
benchmark,DNK,2050,m,4,572830
benchmark,DNK,2050,m,5,1320179
benchmark,DNK,2050,m,6,1194558
benchmark,ESP,2015,f,1,3518374
benchmark,ESP,2015,f,2,2609503
benchmark,ESP,2015,f,3,2990509
benchmark,ESP,2015,f,4,5250774
benchmark,ESP,2015,f,5,3923419
benchmark,ESP,2015,f,6,5058990
benchmark,ESP,2015,m,1,3761473
benchmark,ESP,2015,m,2,1751466
benchmark,ESP,2015,m,3,2727915
benchmark,ESP,2015,m,4,5509027
benchmark,ESP,2015,m,5,4028063
benchmark,ESP,2015,m,6,4752881
benchmark,ESP,2020,f,1,2531203
benchmark,ESP,2020,f,2,2134244
benchmark,ESP,2020,f,3,2679923
benchmark,ESP,2020,f,4,5544385
benchmark,ESP,2020,f,5,4490050
benchmark,ESP,2020,f,6,6166127
benchmark,ESP,2020,m,1,2711286
benchmark,ESP,2020,m,2,1399028
benchmark,ESP,2020,m,3,2383007
benchmark,ESP,2020,m,4,5883486
benchmark,ESP,2020,m,5,4717636
benchmark,ESP,2020,m,6,5713204
benchmark,ESP,2025,f,1,1362258
benchmark,ESP,2025,f,2,1809167
benchmark,ESP,2025,f,3,2729806
benchmark,ESP,2025,f,4,5462964
benchmark,ESP,2025,f,5,5165473
benchmark,ESP,2025,f,6,7087076
benchmark,ESP,2025,m,1,1462247
benchmark,ESP,2025,m,2,1209150
benchmark,ESP,2025,m,3,2528180
benchmark,ESP,2025,m,4,5856171
benchmark,ESP,2025,m,5,5443911
benchmark,ESP,2025,m,6,6454614
benchmark,ESP,2030,f,1,231366
benchmark,ESP,2030,f,2,1497483
benchmark,ESP,2030,f,3,2617553
benchmark,ESP,2030,f,4,5394909
benchmark,ESP,2030,f,5,5700826
benchmark,ESP,2030,f,6,8196258
benchmark,ESP,2030,m,1,250404
benchmark,ESP,2030,m,2,1030648
